Id,SalePrice
1461,119246.484
1462,138378.39
1463,172557.88
1464,176158.98
1465,190430.72
1466,174233.31
1467,165572.55
1468,159838.48
1469,172910.48
1470,116467.25
1471,180857.08
1472,93056.2
1473,87952.65
1474,137842.42
1475,109704.06
1476,367598.9
1477,229475.27
1478,281544.0
1479,304017.28
1480,449987.28
1481,331568.28
1482,202867.73
1483,163475.42
1484,155757.17
1485,168490.77
1486,191026.77
1487,323223.97
1488,246645.86
1489,193295.78
1490,212761.52
1491,187372.45
1492,99448.3
1493,179823.77
1494,265895.9
1495,275369.97
1496,208248.06
1497,177128.55
1498,155212.8
1499,153688.45
1500,151868.36
1501,160730.45
1502,133292.34
1503,232896.95
1504,217356.1
1505,224978.75
1506,172167.92
1507,246347.7
1508,181456.9
1509,159902.08
1510,137701.94
1511,138769.73
1512,176516.64
1513,144766.84
1514,127995.35
1515,231530.73
1516,138054.3
1517,151013.14
1518,124280.69
1519,188824.08
1520,125764.41
1521,132848.0
1522,185517.61
1523,116762.17
1524,127888.055
1525,111415.14
1526,125839.77
1527,107915.95
1528,117760.516
1529,138298.14
1530,148040.45
1531,108220.734
1532,95907.875
1533,120343.2
1534,113430.97
1535,139185.69
1536,108009.94
1537,53258.086
1538,139747.8
1539,199230.58
1540,81168.69
1541,142709.8
1542,137571.92
1543,153302.78
1544,79482.85
1545,102198.73
1546,125746.164
1547,134754.52
1548,125547.83
1549,103840.266
1550,127549.05
1551,107276.72
1552,154327.23
1553,159895.83
1554,107420.71
1555,164027.47
1556,108345.04
1557,106150.07
1558,91138.55
1559,115012.81
1560,117832.83
1561,112654.95
1562,122178.734
1563,125273.875
1564,152110.55
1565,152254.8
1566,232189.08
1567,75341.55
1568,229159.17
1569,101178.11
1570,135049.02
1571,115344.766
1572,133315.97
1573,202462.98
1574,122865.55
1575,211601.95
1576,208573.33
1577,172774.11
1578,139473.92
1579,145341.14
1580,183409.17
1581,157305.28
1582,116441.45
1583,313355.22
1584,219750.02
1585,134266.92
1586,68743.23
1587,112118.31
1588,133320.52
1589,107924.445
1590,125745.266
1591,110617.89
1592,87091.37
1593,125088.0
1594,143960.11
1595,142128.27
1596,206133.05
1597,190634.95
1598,171137.52
1599,156460.33
1600,168669.55
1601,64242.848
1602,125319.04
1603,87763.72
1604,219222.25
1605,211041.5
1606,157138.94
1607,169365.8
1608,189219.23
1609,181153.47
1610,159562.86
1611,141815.23
1612,168896.2
1613,171097.47
1614,120669.375
1615,88968.93
1616,81602.875
1617,81489.86
1618,119809.016
1619,120444.13
1620,146897.61
1621,142215.64
1622,145295.92
1623,285125.62
1624,218643.75
1625,116940.664
1626,154484.39
1627,171389.3
1628,245520.5
1629,166256.81
1630,381782.72
1631,201062.61
1632,252543.28
1633,162350.67
1634,176812.9
1635,163249.12
1636,153661.58
1637,194492.33
1638,187980.89
1639,185546.31
1640,232334.6
1641,186337.83
1642,214694.78
1643,220787.55
1644,213464.48
1645,223296.55
1646,145568.23
1647,146346.14
1648,134810.52
1649,134418.83
1650,106792.64
1651,119738.01
1652,88353.83
1653,89533.73
1654,137779.69
1655,122757.81
1656,138254.0
1657,140183.9
1658,145756.34
1659,107419.56
1660,154692.58
1661,415569.9
1662,362562.97
1663,372123.12
1664,402774.53
1665,308304.38
1666,318521.03
1667,315858.9
1668,315891.0
1669,243815.53
1670,342143.6
1671,278934.03
1672,409938.03
1673,282340.94
1674,244265.14
1675,197425.7
1676,188828.42
1677,202736.14
1678,397146.62
1679,360542.28
1680,329585.56
1681,234280.81
1682,288279.3
1683,189568.48
1684,170422.14
1685,172142.08
1686,160562.64
1687,164419.83
1688,183742.14
1689,185513.48
1690,175222.25
1691,167185.16
1692,217131.33
1693,156398.14
1694,165924.1
1695,156120.64
1696,253663.05
1697,157455.98
1698,337557.97
1699,339961.06
1700,245343.06
1701,266299.03
1702,251130.95
1703,258538.86
1704,259643.42
1705,218741.6
1706,416899.8
1707,208217.86
1708,206061.7
1709,239397.83
1710,211465.73
1711,219114.48
1712,296635.66
1713,254990.36
1714,223891.45
1715,193863.05
1716,175332.83
1717,167561.38
1718,153174.92
1719,197724.23
1720,198131.33
1721,167075.52
1722,145342.47
1723,143103.75
1724,195193.31
1725,226728.2
1726,181662.73
1727,170644.62
1728,169562.5
1729,149072.92
1730,155945.61
1731,123599.86
1732,119876.71
1733,117899.0
1734,127153.61
1735,125760.7
1736,112798.35
1737,276424.97
1738,217045.86
1739,315531.97
1740,236694.95
1741,183837.45
1742,162291.92
1743,161599.86
1744,250261.75
1745,235658.58
1746,233890.3
1747,200203.44
1748,270152.5
1749,146165.66
1750,122091.45
1751,263563.66
1752,117705.44
1753,146188.98
1754,188334.33
1755,156054.28
1756,117801.68
1757,118450.516
1758,137044.45
1759,150744.62
1760,151949.08
1761,143202.23
1762,182697.6
1763,165112.03
1764,123087.625
1765,171923.08
1766,184836.92
1767,214080.05
1768,143413.73
1769,155038.95
1770,140468.16
1771,121605.08
1772,145731.52
1773,134602.67
1774,160206.14
1775,132982.8
1776,138309.95
1777,107568.3
1778,135793.92
1779,132244.36
1780,145681.36
1781,133524.45
1782,93149.44
1783,129173.53
1784,112892.01
1785,121824.9
1786,147701.17
1787,150301.1
1788,51899.855
1789,87869.05
1790,85115.35
1791,155406.8
1792,163159.64
1793,125920.234
1794,133856.83
1795,133621.4
1796,139558.7
1797,112190.95
1798,123259.58
1799,107076.15
1800,133488.44
1801,122355.21
1802,114548.83
1803,154539.2
1804,131623.34
1805,129062.76
1806,117454.02
1807,132720.58
1808,114508.6
1809,132948.92
1810,140126.06
1811,91448.875
1812,114079.19
1813,116418.69
1814,89492.484
1815,52507.195
1816,112869.016
1817,118284.33
1818,139419.11
1819,109883.79
1820,72443.336
1821,105703.8
1822,141945.48
1823,51669.47
1824,121457.91
